Trade Number,Profit/Loss,Cumulative Return
1,-50.0,-50.0
2,99.95,49.95
3,100.04995000000001,149.99995
4,100.14999995,250.14994995
5,100.25014994995,350.40009989995
6,100.35040009989996,450.75049999985
7,100.45075049999984,551.2012504998498
8,100.55120125049984,651.7524517503497
9,100.65175245175034,752.4042042021
10,100.7524042042021,853.1566084063021
11,100.85315660840631,954.0097650147084
12,100.95400976501472,1054.963774779723
13,101.05496377477974,1156.0187385545028
14,101.15601873855451,1257.1747572930572
15,101.25717475729306,1358.4319320503503
16,-50.679215966025176,1307.7527160843251
17,101.30775271608432,1409.0604688004094
18,101.4090604688004,1510.4695292692097
19,-50.755234764634594,1459.714294504575
20,101.45971429450456,1561.1740087990795
21,-50.78058700439953,1510.39342179468
22,-50.75519671089733,1459.6382250837828
23,-50.72981911254188,1408.9084059712409
24,101.4089084059712,1510.3173143772121
25,101.51031731437718,1611.8276316915894
26,101.61182763169155,1713.439459323281
27,101.71343945932324,1815.152898782604
28,-50.907576449391286,1764.2453223332127
29,-50.88212266116659,1713.363199672046
30,101.71336319967202,1815.0765628717181
31,-50.90753828143585,1764.1690245902823
32,101.76416902459025,1865.9331936148726
33,101.86593319361485,1967.7991268084875
34,-50.983899563404236,1916.8152272450832
35,-50.95840761362253,1865.8568196314607
36,101.86585681963145,1967.7226764510922
37,101.96772267645106,2069.690399127543
38,102.06969039912751,2171.7600895266705
39,102.17176008952664,2273.9318496161973
40,102.27393184961616,2376.2057814658133
41,102.37620578146579,2478.581987247279
42,102.47858198724724,2581.060569234526
43,102.58106056923448,2683.6416298037607
44,102.68364162980373,2786.3252714335645
45,102.78632527143353,2889.111596704998
46,102.88911159670495,2992.000708301703
47,102.99200070830166,3094.9927090100045
48,103.09499270900994,3198.0877017190146
49,-51.59904385085949,3146.4886578681553
50,-51.57324432893405,3094.9154135392214
51,-51.54745770676959,3043.367955832452
52,103.04336795583241,3146.4113237882843
53,103.14641132378824,3249.557735112073
54,-51.62477886755602,3197.932956244517
55,103.19793295624447,3301.1308892007614
56,103.30113088920073,3404.432020089962
57,-51.702216010044964,3352.729804079917
58,-51.67636490203994,3301.053439177877
59,103.30105343917784,3404.354492617055
60,103.40435449261702,3507.758847109672
61,-51.75387942355482,3456.004967686117
62,103.45600496768607,3559.4609726538033
63,103.55946097265377,3663.020433626457
64,103.66302043362641,3766.6834540600835
65,-51.88334172703002,3714.8001123330537
66,-51.857400056166504,3662.942712276887
67,-51.831471356138415,3611.1112409207485
68,-51.80555562046035,3559.305685300288
69,103.55930568530023,3662.8649909855885
70,-51.831432495492756,3611.033558490096
71,-51.80551677924501,3559.228041710851
72,-51.77961402085539,3507.4484276899957
73,-51.75372421384497,3455.6947034761506
74,-51.727847351738035,3403.9668561244125
75,103.40396685612434,3507.370822980537
76,-51.75368541149024,3455.617137569047
77,-51.72780856878449,3403.8893290002625
78,-51.7019446645001,3352.1873843357625
79,-51.676093692167846,3300.5112906435947
80,103.30051129064353,3403.8118019342382
81,-51.70190590096709,3352.109896033271
82,103.3521098960332,3455.4620059293043
83,103.45546200592923,3558.9174679352336
84,103.55891746793519,3662.476385403169
85,103.66247638540311,3766.138861788572
86,-51.88306943089427,3714.2557923576774
87,103.71425579235762,3817.970048150035
88,103.81797004814996,3921.788018198185
89,103.92178801819813,4025.709806216383
90,-52.012854903108156,3973.696951313275
91,103.97369695131323,4077.670648264588
92,-52.038835324132265,4025.631812940456
93,104.0256318129404,4129.657444753396
94,-52.064828722376674,4077.592616031019
95,104.07759261603097,4181.6702086470505
96,-52.090835104323496,4129.579373542727
97,-52.06478968677134,4077.5145838559556
98,-52.03875729192795,4025.4758265640276
99,104.02547582656399,4129.501302390591
100,104.12950130239054,4233.630803692982
101,-52.116815401846466,4181.513988291135
102,104.18151398829107,4285.695502279426
103,-52.14284775113969,4233.552654528286
104,-52.11677632726412,4181.435878201022
105,-52.09071793910049,4129.345160261922
106,-52.06467258013094,4077.280487681791
107,-52.03864024384086,4025.24184743795
108,104.02524184743788,4129.267089285388
109,-52.06463354464267,4077.202455740745
110,104.07720245574069,4181.279658196486
111,-52.090639829098215,4129.189018367388
112,-52.06459450918367,4077.124423858204
113,104.07712442385815,4181.2015482820625
114,104.181201548282,4285.382749830344
115,-52.14269137491515,4233.240058455429
116,-52.11662002922768,4181.123438426202
117,-52.09056171921308,4129.032876706989
118,104.12903287670693,4233.161909583696
119,104.23316190958366,4337.39507149328
120,104.33739507149322,4441.732466564773
121,-52.22086623328236,4389.511600331491
122,104.38951160033142,4493.901111931822
123,104.49390111193175,4598.395013043753
124,-52.29919750652184,4546.095815537232
125,-52.273047907768586,4493.822767629464
126,-52.24691138381469,4441.5758562456485
127,104.44157585624558,4546.017432101894
128,104.5460174321018,4650.5634495339955
129,104.65056344953392,4755.21401298353
130,-52.37760700649173,4702.836405977038
131,104.70283640597695,4807.539242383015
132,-52.403769621191465,4755.135472761824
133,-52.37756773638088,4702.757905025443
134,-52.35137895251269,4650.40652607293
135,104.65040652607286,4755.056932599004
136,104.75505693259893,4859.811989531602
137,104.85981198953152,4964.671801521134
138,104.96467180152106,5069.636473322655
139,-52.534818236661295,5017.101655085993
140,-52.50855082754296,4964.59310425845
141,-52.4822965521292,4912.110807706321
142,104.91211080770626,5017.022918514027
143,105.01702291851396,5122.039941432541
144,105.12203994143249,5227.1619813739735
145,105.22716198137391,5332.389143355347
146,105.33238914335527,5437.721532498703
147,-52.71886076624932,5385.002671732454
148,-52.69250133586619,5332.310170396588
149,105.33231017039651,5437.642480566984
150,105.43764248056692,5543.080123047551
151,105.54308012304749,5648.623203170599
152,-52.82431160158527,5595.798891569013
153,105.59579889156896,5701.394690460582
154,-52.850697345230266,5648.543993115351
